periodo,anio,fecha_descarga,distrito_fiscal,tipo_fiscalia,materia,especialidad,tipo_caso,especializada,ingresado,atendido,ubigeo_pjfs,dpto_pjfs,prov_pjfs,dist_pjfs,fecha_corte,año_descarga
ENERO - DICIEMBRE,2022,2023-06-01,AMAZONAS,PROVINCIAL,CIVIL,CIVIL,EXPEDIENTE,NO_TIPO_ESPECIALIZADA,42,35,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2023-06-15,2023
ENERO - DICIEMBRE,2022,2023-06-01,AMAZONAS,PROVINCIAL,FAMILIA,ACTOS CONTRA LA LIBERTAD SEXUAL,DENUNCIA,NO_TIPO_ESPECIALIZADA,28,22,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2023-06-15,2023
ENERO - DICIEMBRE,2022,2023-06-01,AMAZONAS,PROVINCIAL,FAMILIA,FAMILIA CIVIL,EXPEDIENTE,NO_TIPO_ESPECIALIZADA,417,390,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2023-06-15,2023
ENERO - DICIEMBRE,2022,2023-06-01,AMAZONAS,PROVINCIAL,FAMILIA,FAMILIA PENAL,DENUNCIA,NO_TIPO_ESPECIALIZADA,300,272,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2023-06-15,2023
ENERO - DICIEMBRE,2022,2023-06-01,AMAZONAS,PROVINCIAL,FAMILIA,FAMILIA PENAL,EXPEDIENTE,NO_TIPO_ESPECIALIZADA,74,68,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2023-06-15,2023
ENERO - DICIEMBRE,2022,2023-06-01,AMAZONAS,PROVINCIAL,FAMILIA,FAMILIA TUTELAR,DENUNCIA,NO_TIPO_ESPECIALIZADA,635,552,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2023-06-15,2023
ENERO - DICIEMBRE,2022,2023-06-01,AMAZONAS,PROVINCIAL,FAMILIA,FAMILIA TUTELAR,EXPEDIENTE,NO_TIPO_ESPECIALIZADA,42,36,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2023-06-15,2023
ENERO - DICIEMBRE,2022,2023-06-01,AMAZONAS,PROVINCIAL,FAMILIA,VIOLENCIA FAMILIAR,DENUNCIA,NO_TIPO_ESPECIALIZADA,33,33,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2023-06-15,2023
ENERO - DICIEMBRE,2022,2023-06-01,AMAZONAS,PROVINCIAL,PENAL,PENAL,DENUNCIA,DELITOS DE CORRUPCION DE FUNCIONARIOS,369,341,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2023-06-15,2023
ENERO - DICIEMBRE,2022,2023-06-01,AMAZONAS,PROVINCIAL,PENAL,PENAL,DENUNCIA,CONTRA LA CRIMINALIDAD ORGANIZADA,20,18,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2023-06-15,2023
